Name,Amplitude,dAmplitude,Omega,dOmega,Omega0,dOmega0,Alpha,dAlpha,Resistance,dResistance,Inductance,dInductance,Voltage
WaveData7826,1097.002,3.71,194377.603,227.717,42577406918.7,136151562.1,69244.164,343.894,0.3388151,0.0027661,2.4465e-06,7.8e-09,521.6790096647197
WaveData7828,1018.417,3.559,195077.817,232.524,41945264454.9,132652322.2,62369.141,336.157,0.3097744,0.0026493,2.4834e-06,7.9e-09,493.37744594896964
WaveData7830,1041.44,2.726,197795.405,173.522,43492429360.2,103078239.1,66101.491,260.467,0.3166331,0.0019981,2.3951e-06,5.7e-09,493.36207399139863
WaveData7832,1061.497,2.538,196585.659,157.758,42818074958.4,92333074.7,64592.209,234.604,0.3142764,0.0018192,2.4328e-06,5.2e-09,507.65893129238157
WaveData7834,1089.978,2.648,197065.019,165.052,43686815082.9,99771674.8,69657.686,249.218,0.332183,0.0019471,2.3844e-06,5.4e-09,512.1600288292835
WaveData78115,869.02,3.495,175519.438,249.439,34622048079.2,132631682.9,61765.484,364.84,0.3716652,0.0036192,3.0087e-06,1.15e-08,458.91374814703545
WaveData78117,725.58,1.481,180266.231,117.056,34371335205.8,55768016.4,43306.132,156.626,0.2624894,0.0013752,3.0306e-06,4.9e-09,396.3985235198741
WaveData78119,968.579,6.235,160028.884,387.542,30196632926.9,206186475.7,67730.268,606.455,0.4672863,0.0073748,3.4496e-06,2.36e-08,534.6919948566067
WaveData78121,902.04,3.955,173025.536,286.123,34162682218.9,152345916.4,64998.815,410.26,0.3963805,0.0042695,3.0491e-06,1.36e-08,475.8968352819863
WaveData78123,914.81,4.151,170988.573,294.005,33694735065.1,157870302.6,66765.582,429.317,0.4128092,0.0045886,3.0915e-06,1.45e-08,483.5761087114645
