Name,Current,Ibit,Resistance,Thrust,Mass,Lorentz,u,T,ne,rho
WaveData7826,672.051353845312,3.51079916379119e-07,0.02425008126842819,0.07585661546617659,2.6953228772685763e-11,0.07057966967403878,3987.76042496781,1.20568400554834,9.78709615552839e+19,2.7240698774585898e-06
WaveData7828,651.035175643602,3.458898216390171e-07,0.0246503381057863,0.07146943649790932,2.7393210170276202e-11,0.06624075560076206,3957.1835473283295,1.1940700871690801,9.85009232247078e+19,2.74161924220069e-06
WaveData7830,653.69259917857,3.379248508633363e-07,0.024430042836195008,0.07236044219866133,2.705494119163304e-11,0.06677454070180187,3938.32413263937,1.19314624173998,9.60221041340749e+19,2.67261052846613e-06
WaveData7832,671.7871499349479,3.4871258566561015e-07,0.024218457355641418,0.07587711060538853,2.699145135585309e-11,0.07052949538539771,3977.8830192521204,1.2039018122893999,9.7396775403946e+19,2.7108861467151e-06
WaveData7834,664.1734433891739,3.482034203423346e-07,0.02435163000466405,0.07425875860220045,2.695950957304067e-11,0.06894041571616742,3978.71721927794,1.20268186261162,9.76117701564955e+19,2.71687182219528e-06
WaveData78115,534.556605083968,2.9014064320960977e-07,0.027069309197897483,0.05075115426586326,2.8883123937396304e-11,0.044655633210092915,3687.82719089229,1.1085080465756398,9.40614198693981e+19,2.61804469990516e-06
WaveData78117,508.831601032433,2.7390723434781234e-07,0.027783435994192,0.04690223043020215,2.9371426426736565e-11,0.04046025488118975,3632.0035039956106,1.08077799954326,9.26794239189935e+19,2.57957779767899e-06
WaveData78119,551.572531358882,3.071236587544459e-07,0.026784458323885468,0.05308451206542647,2.914052705793134e-11,0.047543854938924185,3710.53751565981,1.1220717203821,9.64752580329438e+19,2.6852282982281298e-06
WaveData78121,540.344217928433,2.844500852364838e-07,0.02683921712952934,0.05204810932051583,2.8554252973649674e-11,0.04562869705026698,3693.09175033008,1.10950809478603,9.26533734396673e+19,2.57885703378911e-06
WaveData78123,539.182873279257,2.942355802728858e-07,0.02696813969888586,0.051408492423071966,2.8852178077162173e-11,0.04542963606701965,3698.7627976831,1.11312227129115,9.45696999719164e+19,2.6321886721786e-06
